Ensembl Gene ID	HGNC symbol
ENSG00000095752	IL11
ENSG00000130177	CDC16
ENSG00000160472	TMEM190
ENSG00000233493	TMEM238
ENSG00000108107	RPL28
ENSG00000131873	CHSY1
ENSG00000108106	UBE2S
ENSG00000187902	SHISA7
ENSG00000131871	VIMP
ENSG00000063241	ISOC2
ENSG00000197483	ZNF628
ENSG00000090971	NAT14
ENSG00000179954	SSC5D
ENSG00000131876	SNRPA1
ENSG00000187550	SBK2
ENSG00000231274	
ENSG00000218891	ZNF579
ENSG00000179943	FIZ1
ENSG00000261846	
ENSG00000171443	ZNF524
ENSG00000169062	UPF3A
ENSG00000261221	ZNF865
ENSG00000179922	ZNF784
ENSG00000213015	ZNF580
ENSG00000198824	CHAMP1
ENSG00000171425	ZNF581
ENSG00000140479	PCSK6
ENSG00000173581	CCDC106
ENSG00000063244	U2AF2
ENSG00000063245	EPN1
ENSG00000185792	NLRP9
ENSG00000223638	RFPL4A
ENSG00000229292	
ENSG00000179873	NLRP11
ENSG00000160505	NLRP4
ENSG00000173572	NLRP13
ENSG00000179709	NLRP8
ENSG00000171487	NLRP5
ENSG00000142409	ZNF787
ENSG00000167685	ZNF444
ENSG00000184277	TM2D3
ENSG00000204533	
ENSG00000197487	GALP
ENSG00000197213	ZSCAN5B
ENSG00000204532	ZSCAN5C
ENSG00000131848	ZSCAN5A
ENSG00000267710	
ENSG00000185418	TARSL2
ENSG00000018869	ZNF582
ENSG00000198440	ZNF583
ENSG00000198046	ZNF667
ENSG00000196263	ZNF471
ENSG00000259658	
ENSG00000184140	OR4F6
ENSG00000196867	ZFP28
ENSG00000182854	OR4F15
ENSG00000177693	OR4F4
ENSG00000197016	ZNF470
ENSG00000197951	ZNF71
ENSG00000127903	ZNF835
ENSG00000198300	PEG3
ENSG00000131864	USP29
ENSG00000141946	ZIM3
ENSG00000258873	DUXA
ENSG00000083844	ZNF264
ENSG00000105146	AURKC
ENSG00000204524	ZNF805
ENSG00000197714	ZNF460
ENSG00000178229	ZNF543
ENSG00000131845	ZNF304
ENSG00000256060	TRAPPC2P1
ENSG00000152433	ZNF547
ENSG00000188785	ZNF548
ENSG00000186272	ZNF17
ENSG00000186230	ZNF749
ENSG00000178201	VN1R1
ENSG00000197128	ZNF772
ENSG00000105136	ZNF419
ENSG00000152439	ZNF773
ENSG00000121406	ZNF549
ENSG00000251369	
ENSG00000083817	ZNF416
ENSG00000171649	ZIK1
ENSG00000183647	ZNF530
ENSG00000213762	ZNF134
ENSG00000121417	ZNF211
ENSG00000180532	ZSCAN4
ENSG00000204519	ZNF551
ENSG00000228006	
ENSG00000179909	ZNF154
ENSG00000083814	ZNF671
ENSG00000152443	ZNF776
ENSG00000083828	ZNF586
ENSG00000178935	ZNF552
ENSG00000198466	ZNF587
ENSG00000198466	ZNF587B
ENSG00000204514	ZNF814
ENSG00000173480	ZNF417
ENSG00000196724	ZNF418
ENSG00000152454	ZNF256
ENSG00000177025	C19orf18
ENSG00000166704	ZNF606
ENSG00000176593	
ENSG00000152467	ZSCAN1
ENSG00000176293	ZNF135
ENSG00000121413	ZSCAN18
ENSG00000181894	ZNF329
ENSG00000171606	ZNF274
ENSG00000198131	ZNF544
ENSG00000083842	ZNF8
ENSG00000267216	
ENSG00000182318	ZSCAN22
ENSG00000121410	A1BG
ENSG00000174586	ZNF497
ENSG00000152475	ZNF837
ENSG00000083845	RPS5
ENSG00000232098	
ENSG00000171574	ZNF584
ENSG00000131849	ZNF132
ENSG00000249471	ZNF324B
ENSG00000083812	ZNF324
ENSG00000083838	ZNF446
ENSG00000083807	SLC27A5
ENSG00000119574	ZBTB45
ENSG00000130726	TRIM28
ENSG00000130724	CHMP2A
ENSG00000130725	UBE2M
ENSG00000099326	MZF1
ENSG00000113643	RARS
ENSG00000081320	STK17B
ENSG00000138411	HECW2
ENSG00000240303	ACAD11
ENSG00000120137	PANK3
ENSG00000184347	SLIT3
ENSG00000144395	CCDC150
ENSG00000113971	NPHP3
ENSG00000040275	CCDC99
ENSG00000119041	GTF3C3
ENSG00000129048	CCRL1
ENSG00000081307	UBA5
ENSG00000134516	DOCK2
ENSG00000144868	TMEM108
ENSG00000187944	C2orf66
ENSG00000197121	PGAP1
ENSG00000170819	BFSP2
ENSG00000091527	CDV3
ENSG00000163781	TOPBP1
ENSG00000213186	TRIM59
ENSG00000186432	KPNA4
ENSG00000179674	ARL14
ENSG00000163590	PPM1L
ENSG00000169255	B3GALNT1
ENSG00000065413	ANKRD44
ENSG00000091513	TF
ENSG00000169251	NMD3
ENSG00000204767	FAM196B
ENSG00000168269	FOXI1
ENSG00000234511	C5orf58
ENSG00000196542	SPTSSB
ENSG00000182447	OTOL1
ENSG00000090402	SI
ENSG00000043462	LCP2
ENSG00000144867	SRPRB
ENSG00000115524	SF3B1
ENSG00000121871	SLITRK3
ENSG00000114200	BCHE
ENSG00000115540	MOB4
ENSG00000169064	ZBBX
ENSG00000182132	KCNIP1
ENSG00000129055	ANAPC13
ENSG00000154917	RAB6B
ENSG00000182923	CEP63
ENSG00000114204	SERPINI2
ENSG00000221972	C3orf36
ENSG00000174640	SLCO2A1
ENSG00000174776	WDR49
ENSG00000162944	RFTN2
ENSG00000145936	KCNMB1
ENSG00000164438	TLX3
ENSG00000118242	MREG
ENSG00000163785	RYK
ENSG00000181163	NPM1
ENSG00000114209	PDCD10
ENSG00000094755	GABRP
ENSG00000222017	
ENSG00000115520	COQ10B
ENSG00000115425	PECR
ENSG00000247626	MARS2
ENSG00000152430	BOLL
ENSG00000163449	TMEM169
ENSG00000144381	HSPD1
ENSG00000154928	EPHB1
ENSG00000079246	XRCC5
ENSG00000114019	AMOTL2
ENSG00000163536	SERPINI1
ENSG00000174611	KY
ENSG00000204764	RANBP17
ENSG00000173905	GOLIM4
ENSG00000144583	MARCH4
ENSG00000115896	PLCL1
ENSG00000138375	SMARCAL1
ENSG00000119042	SATB2
ENSG00000085276	MECOM
ENSG00000115541	HSPE1
ENSG00000073711	PPP2R3A
ENSG00000122085	MTERFD2
ENSG00000156427	FGF18
ENSG00000253110	
ENSG00000185662	C5orf50
ENSG00000197756	RPL37A
ENSG00000072803	FBXW11
ENSG00000115687	PASK
ENSG00000115457	IGFBP2
ENSG00000226124	
ENSG00000115461	IGFBP5
ENSG00000118245	TNP1
ENSG00000174579	MSL2
ENSG00000223874	
ENSG00000231672	DIRC3
ENSG00000178074	C2orf69
ENSG00000162971	TYW5
ENSG00000079308	TNS1
ENSG00000114054	PCCB
ENSG00000115685	PPP1R7
ENSG00000184378	ACTRT3
ENSG00000085274	MYNN
ENSG00000113742	CPEB4
ENSG00000118017	A4GNT
ENSG00000171757	LRRC34
ENSG00000138231	DBR1
ENSG00000146205	ANO7
ENSG00000072786	STK10
ENSG00000188306	LRRIQ4
ENSG00000162972	C2orf47
ENSG00000114098	ARMC8
ENSG00000114248	LRRC31
ENSG00000115677	HDLBP
ENSG00000187033	SAMD7
ENSG00000196141	SPATS2L
ENSG00000008952	SEC62
ENSG00000185056	C5orf47
ENSG00000013441	CLK1
ENSG00000188282	RUFY4
ENSG00000214360	EFCAB9
ENSG00000170091	
ENSG00000168246	UBTD2
ENSG00000173890	GPR160
ENSG00000174705	SH3PXD2B
ENSG00000180871	CXCR2
ENSG00000120149	MSX2
ENSG00000214357	NEURL1B
ENSG00000173889	PHC3
ENSG00000184845	DRD1
ENSG00000120129	DUSP1
ENSG00000164466	SFXN1
ENSG00000113719	ERGIC1
ENSG00000163464	CXCR1
ENSG00000163466	ARPC2
ENSG00000118007	STAG1
ENSG00000240344	PPIL3
ENSG00000168385	SEPT2
ENSG00000179921	GPBAR1
ENSG00000155729	KCTD18
ENSG00000127837	AAMP
ENSG00000113749	HRH2
ENSG00000163584	RPL22L1
ENSG00000037241	RPL26L1
ENSG00000145920	CPLX2
ENSG00000163558	PRKCI
ENSG00000135926	TMBIM1
ENSG00000181322	NME9
ENSG00000163535	SGOL2
ENSG00000113732	ATP6V0E1
ENSG00000136603	SKIL
ENSG00000196290	NIF3L1
ENSG00000163577	EIF5A2
ENSG00000164463	CREBRF
ENSG00000051596	THOC3
ENSG00000163581	SLC2A2
ENSG00000127838	PNKD
ENSG00000006607	FARP2
ENSG00000138356	AOX1
ENSG00000013297	CLDN11
ENSG00000158186	MRAS
ENSG00000154310	TNIK
ENSG00000013293	SLC7A14
ENSG00000168917	SLC35G2
ENSG00000115942	ORC2
ENSG00000158092	NCK1
ENSG00000248469	
ENSG00000182230	FAM153B
ENSG00000113734	BNIP1
ENSG00000115694	STK25
ENSG00000158220	ESYT3
ENSG00000174564	IL20RB
ENSG00000158428	C2orf62
ENSG00000018280	SLC11A1
ENSG00000183072	NKX2-5
ENSG00000168875	SOX14
ENSG00000155744	FAM126B
ENSG00000066405	CLDN18
ENSG00000113739	STC2
ENSG00000176720	BOK
ENSG00000176946	THAP4
ENSG00000114107	CEP70
ENSG00000158163	DZIP1L
ENSG00000168397	ATG4B
ENSG00000082153	BZW1
ENSG00000144579	CTDSP1
ENSG00000145919	BOD1
ENSG00000170085	C5orf25
ENSG00000127831	VIL1
ENSG00000119013	NDUFB3
ENSG00000003402	CFLAR
ENSG00000075651	PLD1
ENSG00000168393	DTYMK
ENSG00000135913	USP37
ENSG00000122203	KIAA1191
ENSG00000168395	ING5
ENSG00000158234	FAIM
ENSG00000180902	D2HGDH
ENSG00000144580	RQCD1
ENSG00000175414	ARL10
ENSG00000183657	
ENSG00000186329	TMEM212
ENSG00000075420	FNDC3B
ENSG00000154252	GAL3ST2
ENSG00000048162	NOP16
ENSG00000204099	NEU4
ENSG00000051382	PIK3CB
ENSG00000115556	PLCD4
ENSG00000146066	HIGD2A
ENSG00000188389	PDCD1
ENSG00000175416	CLTB
ENSG00000188011	CXXC11
ENSG00000216921	
ENSG00000115568	ZNF142
ENSG00000113194	FAF2
ENSG00000074582	BCS1L
ENSG00000003400	CASP10
ENSG00000203443	
ENSG00000121853	GHSR
ENSG00000121858	TNFSF10
ENSG00000183770	FOXL2
ENSG00000206262	C3orf72
ENSG00000144959	NCEH1
ENSG00000206260	PRR23A
ENSG00000175110	MRPS22
ENSG00000146083	RNF44
ENSG00000114346	ECT2
ENSG00000163481	RNF25
ENSG00000074276	CDHR2
ENSG00000163482	STK36
ENSG00000064012	CASP8
ENSG00000184814	PRR23B
ENSG00000233701	PRR23C
ENSG00000144962	SPATA16
ENSG00000184432	COPB2
ENSG00000169760	NLGN1
ENSG00000135912	TTLL4
ENSG00000169258	GPRIN1
ENSG00000074317	SNCB
ENSG00000177694	NAALADL2
ENSG00000177565	TBL1XR1
ENSG00000135929	CYP27A1
ENSG00000115592	PRKAG3
ENSG00000197584	KCNMB2
ENSG00000172667	ZMAT3
ENSG00000121879	PIK3CA
ENSG00000115596	WNT6
ENSG00000135925	WNT10A
ENSG00000171450	CDK5R2
ENSG00000163497	FEV
ENSG00000164611	PTTG1
ENSG00000017260	ATP2C1
ENSG00000118322	ATP10B
ENSG00000145864	GABRB2
ENSG00000138378	STAT4
ENSG00000145863	GABRA6
ENSG00000022355	GABRA1
ENSG00000128641	MYO1B
ENSG00000113327	GABRG2
ENSG00000113328	CCNG1
ENSG00000170584	NUDCD2
ENSG00000176753	C15orf56
ENSG00000137841	PLCB2
ENSG00000072571	HMMR
ENSG00000034533	ASTE1
ENSG00000233095	HLA-G
ENSG00000223980	HLA-A
ENSG00000173559	NABP1
ENSG00000230778	ANKRD63
ENSG00000188549	C15orf52
ENSG00000114670	NEK11
ENSG00000233041	PHGR1
ENSG00000140323	DISP2
ENSG00000233795	ZNRD1
ENSG00000128944	C15orf23
ENSG00000237829	PPP1R11
ENSG00000168497	SDPR
ENSG00000144339	TMEFF2
ENSG00000230467	RNF39
ENSG00000128928	IVD
ENSG00000038274	MAT2B
ENSG00000224168	TRIM31
ENSG00000179431	FJX1
ENSG00000166326	TRIM44
ENSG00000233931	TRIM40
ENSG00000198585	NUDT16
ENSG00000179241	LDLRAD3
ENSG00000140320	BAHD1
ENSG00000229346	TRIM10
ENSG00000114686	MRPL3
ENSG00000141504	SAT2
ENSG00000169105	CHST14
ENSG00000128891	C15orf57
ENSG00000110442	COMMD9
ENSG00000196950	SLC39A10
ENSG00000148408	CACNA1B
ENSG00000224145	TRIM15
ENSG00000145934	ODZ2
ENSG00000166133	RPUSD2
ENSG00000137812	CASC5
ENSG00000146463	ZMYM4
ENSG00000234046	TRIM26
ENSG00000196353	CPNE4
ENSG00000135362	PRR5L
ENSG00000257212	
ENSG00000229929	TRIM39
ENSG00000129244	ATP1B2
ENSG00000118997	DNAH7
ENSG00000141510	TP53
ENSG00000051180	RAD51
ENSG00000113645	WWC1
ENSG00000239927	RPP21
ENSG00000175104	TRAF6
ENSG00000230254	HLA-E
ENSG00000166349	RAG1
ENSG00000014257	ACPP
ENSG00000175097	RAG2
ENSG00000137824	FAM82A2
ENSG00000142687	KIAA0319L
ENSG00000258201	
ENSG00000226882	GNL1
ENSG00000138246	DNAJC13
ENSG00000166352	C11orf74
ENSG00000137880	GCHFR
ENSG00000104129	DNAJC17
ENSG00000141499	WRAP53
ENSG00000229202	PRR3
ENSG00000188277	C15orf62
ENSG00000166140	ZFYVE19
ENSG00000111913	FAM65B
ENSG00000148948	LRRC4C
ENSG00000071575	TRIB2
ENSG00000166181	API5
ENSG00000196266	OR10J3
ENSG00000225989	ABCF1
ENSG00000196184	OR10J1
ENSG00000184155	OR10J5
ENSG00000155252	PI4K2A
ENSG00000184083	FAM120C
ENSG00000132703	APCS
ENSG00000108947	EFNB3
ENSG00000162981	FAM84A
ENSG00000132693	CRP
ENSG00000183914	DNAH2
ENSG00000166143	PPP1R14D
ENSG00000100867	DHRS2
ENSG00000166145	SPINT1
ENSG00000265629	
ENSG00000151779	NBAS
ENSG00000052841	TTC17
ENSG00000238104	PPP1R10
ENSG00000196632	WNK3
ENSG00000104140	RHOV
ENSG00000104142	VPS18
ENSG00000249967	
ENSG00000158716	DUSP23
ENSG00000203942	C10orf62
ENSG00000132510	KDM6B
ENSG00000171160	MORN4
ENSG00000128917	DLL4
ENSG00000128965	CHAC1
ENSG00000020129	NCDN
ENSG00000223775	MRPS18B
ENSG00000181036	FCRL6
ENSG00000128908	INO80
ENSG00000168405	CMAHP
ENSG00000149084	HSD17B12
ENSG00000119986	AVPI1
ENSG00000234549	ATAT1
ENSG00000155254	MARVELD1
ENSG00000197775	
ENSG00000157326	DHRS4
ENSG00000167874	TMEM88
ENSG00000183011	LSMD1
ENSG00000155256	ZFYVE27
ENSG00000166199	ALKBH3
ENSG00000178997	EXD1
ENSG00000158526	TSR2
ENSG00000079691	LRRC16A
ENSG00000182224	CYB5D1
ENSG00000187446	CHP1
ENSG00000170004	CHD3
ENSG00000262826	
ENSG00000104147	OIP5
ENSG00000158714	SLAMF8
ENSG00000102302	FGD1
ENSG00000137804	NUSAP1
ENSG00000116819	TFAP2E
ENSG00000188004	C1orf204
ENSG00000126067	PSMB2
ENSG00000187630	DHRS4L2
ENSG00000263163	
ENSG00000187479	C11orf96
ENSG00000142686	C1orf216
ENSG00000130119	GNL3L
ENSG00000237100	C6orf136
ENSG00000243284	VSIG8
ENSG00000205126	ACCSL
ENSG00000261992	
ENSG00000092853	CLSPN
ENSG00000256029	
ENSG00000079689	SCGN
ENSG00000226171	DHX16
ENSG00000213085	CCDC19
ENSG00000110455	ACCS
ENSG00000137806	NDUFAF1
ENSG00000186648	LRRC16B
ENSG00000137815	RTF1
ENSG00000102313	ITIH6
ENSG00000120057	SFRP5
ENSG00000164508	HIST1H2AA
ENSG00000146047	HIST1H2BA
ENSG00000151348	EXT2
ENSG00000079785	DDX1
ENSG00000236428	PPP1R18
ENSG00000137825	ITPKA
ENSG00000062524	LTK
ENSG00000170049	KCNAB3
ENSG00000146039	SLC17A4
ENSG00000155265	GOLGA7B
ENSG00000231135	MDC1
ENSG00000262730	
ENSG00000102316	MAGED2
ENSG00000170043	TRAPPC1
ENSG00000134698	EIF2C4
ENSG00000095713	CRTAC1
ENSG00000170037	CNTROB
ENSG00000158710	TAGLN2
ENSG00000103932	RPAP1
ENSG00000124568	SLC17A1
ENSG00000212884	
ENSG00000052850	ALX4
ENSG00000232421	TUBB
ENSG00000085552	IGSF9
ENSG00000085117	CD82
ENSG00000092847	EIF2C1
ENSG00000100884	CPNE6
ENSG00000092445	TYRO3
ENSG00000126070	EIF2C3
ENSG00000067445	TRO
ENSG00000157570	TSPAN18
ENSG00000174197	MGA
ENSG00000132518	GUCY2D
ENSG00000179593	ALOX15B
ENSG00000124564	SLC17A3
ENSG00000118965	WDR35
ENSG00000231031	
ENSG00000137802	MAPKBP1
ENSG00000175274	TP53I11
ENSG00000134323	MYCN
ENSG00000166024	R3HCC1L
ENSG00000233889	
ENSG00000102349	KLF8
ENSG00000197872	FAM49A
ENSG00000178591	DEFB125
ENSG00000132716	DCAF8
ENSG00000125788	DEFB126
ENSG00000179477	ALOX12B
ENSG00000162723	SLAMF9
ENSG00000088782	DEFB127
ENSG00000185982	DEFB128
ENSG00000092850	TEKT2
ENSG00000125903	DEFB129
ENSG00000112337	SLC17A2
ENSG00000119946	CNNM1
ENSG00000230143	FLOT1
ENSG00000186458	DEFB132
ENSG00000196476	C20orf96
ENSG00000143315	PIGM
ENSG00000138131	LOXL4
ENSG00000214999	
ENSG00000179148	ALOXE3
ENSG00000177807	KCNJ10
ENSG00000188021	UBQLN2
ENSG00000162728	KCNJ9
ENSG00000204271	SPIN3
ENSG00000019485	PRDM11
ENSG00000259371	
ENSG00000112343	TRIM38
ENSG00000186787	SPIN2B
ENSG00000162729	IGSF8
ENSG00000139914	FITM1
ENSG00000116863	ADPRHL2
ENSG00000214842	RAD51AP2
ENSG00000214934	
ENSG00000092010	PSME1
ENSG00000019505	SYT13
ENSG00000177764	ZCCHC3
ENSG00000163032	VSNL1
ENSG00000177732	SOX12
ENSG00000175264	CHST1
ENSG00000124610	HIST1H1A
ENSG00000125841	NRSN2
ENSG00000129535	NRL
ENSG00000179111	HES7
ENSG00000171812	COL8A2
ENSG00000124508	BTN2A2
ENSG00000198366	HIST1H3A
ENSG00000196176	HIST1H4A
ENSG00000205106	
ENSG00000124529	HIST1H4B
ENSG00000181830	SLC35C1
ENSG00000124693	HIST1H3B
ENSG00000137259	HIST1H2AB
ENSG00000163029	SMC6
ENSG00000179094	PER1
ENSG00000120053	GOT1
ENSG00000147059	SPIN2A
ENSG00000165591	FAAH2
ENSG00000054116	TRAPPC3
ENSG00000100889	PCK2
ENSG00000101255	TRIB3
ENSG00000121671	CRY2
ENSG00000198455	ZXDB
ENSG00000198205	ZXDA
ENSG00000196226	HIST1H2BB
ENSG00000119919	NKX2-3
ENSG00000119943	PYROXD2
ENSG00000132031	MATN3
ENSG00000125826	RBCK1
ENSG00000196532	HIST1H3C
ENSG00000186767	SPIN4
ENSG00000187837	HIST1H1C
ENSG00000131089	ARHGEF9
ENSG00000010704	HFE
ENSG00000155287	SLC25A28
ENSG00000116871	MAP7D1
ENSG00000068697	LAPTM4A
ENSG00000018625	ATP1A2
ENSG00000026950	BTN3A1
ENSG00000121653	MAPK8IP1
ENSG00000198018	ENTPD7
ENSG00000158571	PFKFB1
ENSG00000100908	EMC9
ENSG00000263620	
ENSG00000220205	VAMP2
ENSG00000258465	
ENSG00000234776	C11orf94
ENSG00000184675	FAM123B
ENSG00000121680	PEX16
ENSG00000198881	ASB12
ENSG00000107521	HPS1
ENSG00000162735	PEX19
ENSG00000125875	TBC1D20
ENSG00000119929	CUTC
ENSG00000179029	TMEM107
ENSG00000115884	SDC1
ENSG00000102043	MTMR8
ENSG00000169188	APEX2
ENSG00000196544	C17orf59
ENSG00000178999	AURKB
ENSG00000100911	PSME2
ENSG00000100897	DCAF11
ENSG00000101266	CSNK2A1
ENSG00000055917	PUM2
ENSG00000165905	GYLTL1B
ENSG00000054118	THRAP3
ENSG00000158578	ALAS2
ENSG00000014919	COX15
ENSG00000126970	ZC4H2
ENSG00000111801	BTN3A3
ENSG00000178295	GEN1
ENSG00000132681	ATP1A4
ENSG00000122218	COPA
ENSG00000197061	HIST1H4C
ENSG00000238269	PAGE2B
ENSG00000187475	HIST1H1T
ENSG00000180596	HIST1H2BC
ENSG00000102053	ZC3H12B
ENSG00000151379	MSGN1
ENSG00000234068	PAGE2
ENSG00000023839	ABCC2
ENSG00000170745	KCNS3
ENSG00000180573	HIST1H2AC
ENSG00000168298	HIST1H1E
ENSG00000001497	LAS1L
ENSG00000182518	FAM104B
ENSG00000158373	HIST1H2BD
ENSG00000197697	HIST1H2BE
ENSG00000240857	RDH14
ENSG00000188987	HIST1H4D
ENSG00000092098	RNF31
ENSG00000197409	HIST1H3D
ENSG00000250741	NT5C1B-RDH14
ENSG00000196866	HIST1H2AD
ENSG00000185013	NT5C1B
ENSG00000197846	HIST1H2BF
ENSG00000256045	MTRNR2L10
ENSG00000158639	PAGE5
ENSG00000198518	HIST1H4E
ENSG00000187990	HIST1H2BG
ENSG00000168274	HIST1H2AE
ENSG00000143318	CASQ1
ENSG00000112763	BTN2A1
ENSG00000196966	HIST1H3E
ENSG00000204279	PAGE3
ENSG00000143878	RHOB
ENSG00000124575	HIST1H1D
ENSG00000198327	HIST1H4F
ENSG00000118960	HS1BP3
ENSG00000172987	HPSE2
ENSG00000187601	MAGEH1
ENSG00000124578	HIST1H4G
ENSG00000247746	USP51
ENSG00000256316	HIST1H3F
ENSG00000189299	FOXR2
ENSG00000197459	HIST1H2BH
ENSG00000147065	MSN
ENSG00000083750	RRAGB
ENSG00000256018	HIST1H3G
ENSG00000143869	GDF7
ENSG00000168242	HIST1H2BI
ENSG00000158406	HIST1H4H
ENSG00000118961	C2orf43
ENSG00000186470	BTN3A2
ENSG00000124557	BTN1A1
ENSG00000182952	HMGN4
ENSG00000236557	
ENSG00000143867	OSR1
ENSG00000162736	NCSTN
ENSG00000162734	PEA15
ENSG00000183891	TTC32
ENSG00000146109	ABT1
ENSG00000107554	DNMBP
ENSG00000166157	TPTE
ENSG00000181315	ZNF322
ENSG00000084674	APOB
ENSG00000124635	HIST1H2BJ
ENSG00000155659	VSIG4
ENSG00000196787	HIST1H2AG
ENSG00000197903	HIST1H2BK
ENSG00000259529	
ENSG00000198339	HIST1H4I
ENSG00000213928	IRF9
ENSG00000184825	HIST1H2AH
ENSG00000112812	PRSS16
ENSG00000120054	CPN1
ENSG00000107566	ERLIN1
ENSG00000218819	
ENSG00000089472	HEPH
ENSG00000158477	CD1A
ENSG00000119771	KLHL29
ENSG00000115758	ODC1
ENSG00000256715	BAGE4
ENSG00000166351	POTED
ENSG00000100918	REC8
ENSG00000158481	CD1C
ENSG00000171311	EXOSC1
ENSG00000188992	LIPI
ENSG00000171786	NHLH1
ENSG00000213341	CHUK
ENSG00000215277	C14orf164
ENSG00000162738	VANGL2
ENSG00000158485	CD1B
ENSG00000185272	RBM11
ENSG00000137393	RNF144B
ENSG00000224361	
ENSG00000119778	ATAD2B
ENSG00000124313	IQSEC2
ENSG00000115761	NOL10
ENSG00000158553	POM121L2
ENSG00000124613	ZNF391
ENSG00000172201	ID4
ENSG00000162739	SLAMF6
ENSG00000158488	CD1E
ENSG00000155304	HSPA13
ENSG00000187026	KRTAP21-2
ENSG00000187005	KRTAP21-1
ENSG00000183640	KRTAP8-1
ENSG00000096654	ZNF184
ENSG00000182591	KRTAP11-1
ENSG00000156299	TIAM1
ENSG00000185130	HIST1H2BL
ENSG00000196747	HIST1H2AI
ENSG00000155307	SAMSN1
ENSG00000172197	MBOAT1
ENSG00000203813	HIST1H3H
ENSG00000204574	ABCF1
ENSG00000182611	HIST1H2AJ
ENSG00000215271	HOMEZ
ENSG00000196374	HIST1H2BM
ENSG00000197238	HIST1H4J
ENSG00000260175	
ENSG00000066294	CD84
ENSG00000235194	PPP1R3E
ENSG00000120049	KCNIP2
ENSG00000095485	CWF19L1
ENSG00000072501	SMC1A
ENSG00000197914	HIST1H4K
ENSG00000184348	HIST1H2AK
ENSG00000173960	UBXN2A
ENSG00000233822	HIST1H2BN
ENSG00000147166	ITGB1BP2
ENSG00000112242	E2F3
ENSG00000131080	EDA2R
ENSG00000243440	
ENSG00000188931	C1orf192
ENSG00000129473	BCL2L2
ENSG00000198374	HIST1H2AL
ENSG00000143226	FCGR2A
ENSG00000184357	HIST1H1B
ENSG00000182572	HIST1H3I
ENSG00000196497	IPO4
ENSG00000258744	
ENSG00000171307	ZDHHC16
ENSG00000092009	CMA1
ENSG00000147133	TAF1
ENSG00000258643	BCL2L2-PABPN1
ENSG00000198558	HIST1H4L
ENSG00000145996	CDKAL1
ENSG00000180530	NRIP1
ENSG00000205639	MFSD2B
ENSG00000197153	HIST1H3J
ENSG00000100836	PABPN1
ENSG00000100448	CTSG
ENSG00000233224	HIST1H2AM
ENSG00000256895	
ENSG00000100450	GZMH
ENSG00000155313	USP25
ENSG00000143882	ATP6V1C2
ENSG00000100453	GZMB
ENSG00000196331	HIST1H2BO
ENSG00000169083	AR
ENSG00000168131	OR2B2
ENSG00000092096	SLC22A17
